Date,Temperature,Humidity,Wind Speed,Weather Condition
2024-11-25 18:00:00,0.1486742424242422,63,0.6458333333333335,scattered clouds
2024-11-25 21:00:00,0.16193181818181657,53,0.46354166666666663,scattered clouds
2024-11-26 00:00:00,0.11742424242424576,43,0.46875,broken clouds
2024-11-26 03:00:00,0.2537878787878789,31,0.359375,clear sky
2024-11-26 06:00:00,0.7945075757575744,20,0.5156250000000001,clear sky
2024-11-26 09:00:00,0.9782196969696955,16,0.8645833333333335,clear sky
2024-11-26 12:00:00,0.4924242424242422,23,0.6510416666666667,clear sky
2024-11-26 15:00:00,0.2660984848484844,26,0.828125,clear sky
2024-11-26 18:00:00,0.18560606060605878,26,0.671875,clear sky
2024-11-26 21:00:00,0.10795454545454675,26,0.5468750000000001,clear sky
2024-11-27 00:00:00,0.03125,26,0.6041666666666667,clear sky
2024-11-27 03:00:00,0.1865530303030276,25,0.375,clear sky
2024-11-27 06:00:00,0.7651515151515156,16,0.49479166666666674,clear sky
2024-11-27 09:00:00,0.9384469696969688,13,0.8229166666666667,clear sky
2024-11-27 12:00:00,0.43939393939393767,19,0.5208333333333334,clear sky
2024-11-27 15:00:00,0.22064393939393767,22,0.7604166666666667,clear sky
2024-11-27 18:00:00,0.14393939393939448,24,0.65625,clear sky
2024-11-27 21:00:00,0.07007575757575779,25,0.5468750000000001,clear sky
2024-11-28 00:00:00,0.0,25,0.7447916666666667,clear sky
2024-11-28 03:00:00,0.1799242424242422,22,0.0,clear sky
2024-11-28 06:00:00,0.7291666666666679,14,0.48958333333333337,clear sky
2024-11-28 09:00:00,0.9393939393939412,11,0.671875,clear sky
2024-11-28 12:00:00,0.40909090909091006,17,0.41145833333333337,clear sky
2024-11-28 15:00:00,0.18087121212121104,20,0.7604166666666667,few clouds
2024-11-28 18:00:00,0.12405303030303116,21,0.75,scattered clouds
2024-11-28 21:00:00,0.14583333333333215,21,0.6354166666666667,overcast clouds
2024-11-29 00:00:00,0.02556818181817988,22,0.5572916666666667,overcast clouds
2024-11-29 03:00:00,0.16571969696969902,20,0.33854166666666663,clear sky
2024-11-29 06:00:00,0.7651515151515156,13,0.4062500000000001,clear sky
2024-11-29 09:00:00,0.8996212121212146,12,1.0,scattered clouds
2024-11-29 12:00:00,0.3958333333333357,18,0.625,broken clouds
2024-11-29 15:00:00,0.3484848484848513,19,0.47395833333333337,broken clouds
2024-11-29 18:00:00,0.2878787878787854,23,0.49479166666666674,overcast clouds
2024-11-29 21:00:00,0.2585227272727302,23,0.375,overcast clouds
2024-11-30 00:00:00,0.15719696969696884,36,0.5989583333333334,overcast clouds
2024-11-30 03:00:00,0.3607954545454568,39,0.6197916666666667,overcast clouds
2024-11-30 06:00:00,0.8115530303030312,28,0.6875,overcast clouds
2024-11-30 09:00:00,1.0,27,0.7604166666666667,broken clouds
2024-11-30 12:00:00,0.5757575757575744,36,0.7343750000000002,scattered clouds
2024-11-30 15:00:00,0.3579545454545432,42,0.78125,clear sky
